DailyTotals,Off work,Vaccinations,Date Index,DailyRecovered,DailyDeaths,DailyTested,DailyActive,DailyHospitalized,DailyICU,DailyVaccinated,DailyDose1,DailyDose2,DailyBooster
1741,0,1,292,1549,0,11592,154,69,3,298,0,0,0
1897,0,1,293,1274,0,9999,581,16,3,1315,0,0,0
1855,0,1,294,1364,0,11943,469,27,6,969,0,0,0
1773,0,1,295,1866,0,11165,-129,9,7,0,0,0,0
2038,0,1,296,1847,0,11476,147,-6,1,0,0,0,0
2146,0,1,297,1799,0,11533,326,5,4,0,0,0,0
2108,0,1,298,1825,0,10456,253,38,0,0,0,0,0
2183,0,1,299,1804,0,9879,351,7,-9,0,0,0,0
2247,0,1,300,1602,0,10758,572,12,5,0,0,0,0
2349,0,1,301,1926,0,12235,377,-15,4,0,0,0,0
0,1,1,302,0,0,0,0,0,0,0,0,0,0
0,1,1,303,0,0,0,0,0,0,0,0,0,0
0,1,1,304,0,0,0,0,0,0,0,0,0,0
9058,0,1,305,7865,0,34529,1046,72,4,0,0,0,0
2381,0,1,306,1995,0,6848,322,7,-2,0,0,0,0
2511,0,1,307,1984,0,7966,486,80,4,0,0,0,0
2819,0,1,308,2002,0,0,755,-36,13,0,0,0,0
0,1,1,309,0,0,0,0,0,0,0,0,0,0
0,1,1,310,0,0,0,0,0,0,0,0,0,0
7663,0,1,311,7409,0,0,134,50,14,0,0,0,0
2546,0,1,312,1749,0,41503,763,69,9,30473,0,0,0
2508,0,1,313,1397,0,7433,1049,23,6,2290,0,0,0
2641,0,1,314,2302,0,8431,290,76,8,6221,0,0,0
2519,0,1,315,2092,0.477121255,9849,352,-13,0,9648,0,0,0
2588,0,1,316,2941,0,2556354,-402,23,5,13970,0,0,0
3127,0,1,317,3042,0,0,36,-11,-1,12521,0,0,0
2588,0,1,318,2684,0,73814,-135,-12,-3,9264,0,0,0
1869,0,1,319,2275,0.301029996,27237,-458,56,8,8065,0,0,0
1934,0,1,320,1982,0.301029996,22435,-93,61,10,7058,0,0,0
2071,0,1,321,2246,1,32350,-208,19,8,7855,0,0,0
2132,0,1,322,2575,0.602059991,36402,-508,7,1,8339,0,0,0
1918,0,1,323,3193,0,39981,-1331,-27,1,11369,0,0,0
