,DATE,UNRATE(%),CONSUMER CONF INDEX,PPI-CONST MAT.,CPIALLITEMS,INFLATION(%),MORTGAGE INT. MONTHLY AVG(%),MED HOUSEHOLD INCOME,CORP. BOND YIELD(%),MONTHLY HOME SUPPLY,% SHARE OF WORKING POPULATION,GDP PER CAPITA,QUARTERLY REAL GDP,QUARTERLY GDP GROWTH RATE (%),CSUSHPISA,new UNRATE(%),new CONSUMER CONF INDEX,new PPI-CONST MAT.,new CPIALLITEMS,new INFLATION(%),new MORTGAGE INT. MONTHLY AVG(%),new MED HOUSEHOLD INCOME,new CORP. BOND YIELD(%),new MONTHLY HOME SUPPLY,new % SHARE OF WORKING POPULATION,new GDP PER CAPITA,new QUARTERLY REAL GDP,new QUARTERLY GDP GROWTH RATE (%),new CSUSHPISA
240,2002-01-05,5.8,108.5,143.8,75.8595375,1.181767015,6.806,42409.0,6.75,4.0,66.59359495,37860,13477.356,0.615502456,304.831,0.0008635701954892239,4.272463482393717e-06,0.0066928509242848554,0.0066928509242848554,0.0003125169716609167,3.059022269256247e-07,0.0066928509242848554,3.059022269256247e-07,0.003059264328710536,5.954291831553888e-06,0.0066928509242848554,0.0066928509242848554,2.0503575055847972e-05,3.059022269256247e-07
239,2002-01-06,5.8,110.3,144.3,75.90172857,1.067415727,6.65,42409.0,6.63,4.2,66.59359495,37860,13477.356,0.615502456,301.704,0.0008635701954892239,3.6453816213543965e-06,0.006535711354470278,0.006634013377507274,0.000347827704736657,4.4662639957135033e-07,0.0066928509242848554,3.968542670298402e-07,0.002445063920539897,5.954291831553888e-06,0.0066928509242848554,0.0066928509242848554,2.0503575055847972e-05,3.625318588565959e-07
238,2002-01-07,5.8,106.3,144.7,75.9861107,1.464788735,6.485,42409.0,6.53,4.2,66.59359495,38099,13531.741,0.403528704,296.496,0.0008635701954892239,5.187195585092166e-06,0.0064126431038320835,0.006517875338790112,0.0002397740435995095,6.66482145597382e-07,0.0066928509242848554,4.929899415446626e-07,0.002445063920539897,5.954291831553888e-06,0.006275480031623419,0.006145133352433505,2.331702926137824e-05,4.810596218584184e-07
237,2002-01-08,5.7,97.4,145.1,76.2392571,1.802816906,6.29,42409.0,6.37,4.0,66.59359495,38099,13531.741,0.403528704,290.371,0.0009441454684651695,1.1370468019936242e-05,0.006291877566868683,0.0061814434142151466,0.0001747256348861393,1.069647327216153e-06,0.0066928509242848554,6.975402026566697e-07,0.003059264328710536,5.954291831553888e-06,0.006275480031623419,0.006145133352433505,2.331702926137824e-05,6.709388475903639e-07
236,2002-01-09,5.7,94.5,145.4,76.3658303,1.514301746,6.0925,42409.0,6.15,3.9,66.59359495,38099,13531.741,0.403528704,284.767,0.0009441454684651695,1.468384747749586e-05,0.006202788951781512,0.006019756863405374,0.00022891290406735527,1.7271362282630455e-06,0.0066928509242848554,1.1241507615735275e-06,0.003421812206293377,5.954291831553888e-06,0.006275480031623419,0.006145133352433505,2.331702926137824e-05,9.096555095488833e-07
235,2002-01-10,5.7,93.7,145.0,76.4924035,2.025886322,6.1125,42409.0,6.32,4.0,66.59359495,38274,13549.421,0.130655767,280.19,0.0009441454684651695,1.5757142310253698e-05,0.006321855411184628,0.005862274562475768,0.00014179146612808632,1.6453360078444641e-06,0.0066928509242848554,7.774504718236285e-07,0.003059264328710536,5.954291831553888e-06,0.0059863735878013255,0.005976855262758893,2.75144120186975e-05,1.1663927443720022e-06
234,2002-01-11,5.9,79.6,144.6,76.4924035,2.198421643,6.068,42409.0,6.31,4.0,66.59359495,38274,13549.421,0.130655767,276.429,0.0007898659417364615,5.463316459366765e-05,0.006443192608436039,0.005862274562475768,0.00012063971968926823,1.8329042636293116e-06,0.0066928509242848554,7.944991348964049e-07,0.003059264328710536,5.954291831553888e-06,0.0059863735878013255,0.005976855262758893,2.75144120186975e-05,1.4307502771989755e-06
233,2002-01-12,6.0,84.9,144.3,76.32363923,2.376910015,6.0475,42409.0,6.21,4.0,66.59359495,38274,13549.421,0.130655767,273.154,0.0007224476727163246,3.423639885536473e-05,0.006535711354470278,0.00607317983146587,0.00010207240719895428,1.9263649548999933e-06,0.0066928509242848554,9.869619073818812e-07,0.003059264328710536,5.954291831553888e-06,0.0059863735878013255,0.005976855262758893,2.75144120186975e-05,1.7093007752722098e-06
232,2003-01-01,5.8,80.7,144.4,76.66116776,2.597402587,5.916,43318.0,6.17,4.0,66.73921392,38584,13619.434,0.516723187,270.258,0.0008635701954892239,4.9582819636521375e-05,0.00650472605695547,0.005658651782241415,8.303166998053355e-05,2.6502499420885346e-06,0.004745950773037093,1.0764235001225027e-06,0.003059264328710536,3.224580196156873e-06,0.005506368655240658,0.00535428399731571,2.1769708294973818e-05,2.000473541820526e-06
231,2003-01-02,5.9,78.8,145.2,77.25184269,2.980877387,5.8425,43318.0,5.95,4.5,66.73921392,38584,13619.434,0.516723187,267.028,0.0007898659417364615,5.862632643795594e-05,0.006262040979790289,0.004999806286721766,5.798264410100671e-05,3.1675706425519622e-06,0.004745950773037093,1.7347559501676562e-06,0.0017466374939648134,3.224580196156873e-06,0.005506368655240658,0.00535428399731571,2.1769708294973818e-05,2.384107868539123e-06
230,2003-01-03,5.9,64.8,145.2,77.71594443,3.020134229,5.745,43318.0,5.89,4.1,66.73921392,38584,13619.434,0.516723187,263.349,0.0007898659417364615,0.00020146363581175967,0.006262040979790289,0.0045361732804415165,5.588991251867791e-05,4.0128421357394115e-06,0.004745950773037093,1.9758888415396033e-06,0.0027350237067983165,3.224580196156873e-06,0.005506368655240658,0.00535428399731571,2.1769708294973818e-05,2.9114577905725028e-06
229,2003-01-04,6.0,61.4,145.9,77.54718016,2.224694107,5.8125,43318.0,5.74,4.1,66.73921392,38976,13741.107,0.893377801,259.249,0.0007224476727163246,0.00027188035479139814,0.00605708524700173,0.004699595340852275,0.00011770821052635964,3.4067027905176427e-06,0.004745950773037093,2.735726942785608e-06,0.0027350237067983165,3.224580196156873e-06,0.004953832312945827,0.004421969022500854,1.7323045221442727e-05,3.637693301962887e-06
228,2003-01-05,6.1,81.0,145.8,77.42060696,2.057842048,5.484,43318.0,5.22,3.9,66.73921392,38976,13741.107,0.893377801,254.556,0.0006607800216060862,4.828836606830081e-05,0.006085951267393903,0.004825995415952177,0.0001376118167947594,7.5585848193250515e-06,0.004745950773037093,8.451755096479546e-06,0.003421812206293377,3.224580196156873e-06,0.004953832312945827,0.004421969022500854,1.7323045221442727e-05,4.693857930260344e-06
227,2003-01-06,6.3,83.6,146.1,77.50498909,2.112284595,5.23,43318.0,4.97,3.5,66.73921392,38976,13741.107,0.893377801,250.094,0.0005527786369235996,3.8394862496245606e-05,0.005999760820931449,0.004741358281811254,0.0001307727568913406,1.3997563318462293e-05,0.004745950773037093,1.453656774060628e-05,0.0053530620173062584,3.224580196156873e-06,0.004953832312945827,0.004421969022500854,1.7323045221442727e-05,5.981148499937066e-06
226,2003-01-07,6.2,83.5,147.0,77.58937123,2.109938929,5.6325,43318.0,5.49,3.6,66.73921392,39752,13970.157,1.66689627,245.796,0.0006043730963662079,3.873492560851329e-05,0.005748402492898168,0.004658198535473836,0.00013106028897992905,5.272076233919261e-06,0.004745950773037093,4.705323714033132e-06,0.0047868771953989316,3.224580196156873e-06,0.004017551816231515,0.0030833585515056745,1.0835333775278997e-05,7.5538867580993835e-06
225,2003-01-08,6.1,77.0,147.2,77.88470869,2.158273379,6.264,43318.0,5.88,3.5,66.73921392,39752,13970.157,1.66689627,241.845,0.0006607800216060862,6.871063055860308e-05,0.005693982713472409,0.004378409010918871,0.00012526113499996137,1.1392898165945046e-06,0.004745950773037093,2.019217932064709e-06,0.0053530620173062584,3.224580196156873e-06,0.004017551816231515,0.0030833585515056745,1.0835333775278997e-05,9.362046308591945e-06
224,2003-01-09,6.1,81.7,149.0,78.13785509,2.320441987,6.1475,43318.0,5.72,3.8,66.73921392,39752,13970.157,1.66689627,238.784,0.0006607800216060862,4.5397868702434395e-05,0.005226693644049179,0.00415194799273927,0.00010761458099522374,1.5113971979165364e-06,0.004745950773037093,2.857025417579716e-06,0.0038271600384391356,3.224580196156873e-06,0.004017551816231515,0.0030833585515056745,1.0835333775278997e-05,1.105545760077695e-05
223,2003-01-10,6.0,77.0,149.6,78.05347296,2.040816328,5.952,43318.0,5.7,3.8,66.73921392,40362,14131.379,1.154045728,235.7,0.0007224476727163246,6.871063055860308e-05,0.0050795692646533625,0.004226108346437951,0.00013982312831480113,2.428607214856667e-06,0.004745950773037093,2.9837020885150336e-06,0.0038271600384391356,3.224580196156873e-06,0.003407131224756374,0.0023916298223169603,1.4789446768333824e-05,1.3071489372986037e-05
222,2003-01-11,5.8,81.7,150.2,77.84251763,1.765030341,5.9325,43318.0,5.65,4.1,66.73921392,40362,14131.379,1.154045728,232.673,0.0008635701954892239,4.5397868702434395e-05,0.004936565686705858,0.004417330388753733,0.00018101786456078668,2.5462582923127373e-06,0.004745950773037093,3.3255144006481474e-06,0.0027350237067983165,3.224580196156873e-06,0.003407131224756374,0.0023916298223169603,1.4789446768333824e-05,1.5407376639481796e-05
221,2003-01-12,5.7,92.5,149.7,77.75813549,1.879491432,5.876,43318.0,5.62,4.0,66.73921392,40362,14131.379,1.154045728,229.403,0.0009441454684651695,1.7515953416914107e-05,0.005055452293465703,0.004496209499376423,0.0001626218389562933,2.920322206719165e-06,0.004745950773037093,3.549121355660143e-06,0.003059264328710536,3.224580196156873e-06,0.003407131224756374,0.0023916298223169603,1.4789446768333824e-05,1.8401966014100234e-05
220,2004-01-01,5.7,94.8,150.0,78.13785509,1.926252069,5.7125,44334.0,5.54,3.8,66.92166376,40801,14212.34,0.572916486,225.793,0.0009441454684651695,1.4300484753075539e-05,0.004983782798100136,0.00415194799273927,0.00015565556615772838,4.342041563580487e-06,0.0032297802079857777,4.221688584800547e-06,0.0038271600384391356,1.4953637046451549e-06,0.003025900473242553,0.0021050522198773594,2.104014390673353e-05,2.2388224923864513e-05
219,2004-01-02,5.6,97.7,153.4,78.55976576,1.693063912,5.635,44334.0,5.5,3.7,66.92166376,40801,14212.34,0.572916486,222.539,0.0010322310367548194,1.1073609334163817e-05,0.004238894352034535,0.0038001433068008106,0.00019363516144291595,5.240197938506631e-06,0.0032297802079857777,4.604355483694154e-06,0.004280319133906497,1.4953637046451549e-06,0.003025900473242553,0.0021050522198773594,2.104014390673353e-05,2.6716353388430328e-05
218,2004-01-03,5.8,88.5,156.5,79.06605855,1.737242119,5.445,44334.0,5.33,3.6,66.92166376,40801,14212.34,0.572916486,219.702,0.0008635701954892239,2.4924178767507322e-05,0.0036568492054031075,0.0034169655323592458,0.00018578927873432775,8.308652937166595e-06,0.0032297802079857777,6.657634251768749e-06,0.0047868771953989316,1.4953637046451549e-06,0.003025900473242553,0.0021050522198773594,2.104014390673353e-05,3.1167210176764124e-05
217,2004-01-04,5.6,88.5,160.1,79.31920495,2.28509249,5.83,44334.0,5.73,4.0,66.92166376,41358,14323.017,0.778738758,218.139,0.0010322310367548194,2.4924178767507322e-05,0.003080151275612476,0.0032400706710411144,0.00011123615025470246,3.2650984736350017e-06,0.0032297802079857777,2.795718408813466e-06,0.003059264328710536,1.4953637046451549e-06,0.0026028066845965305,0.0017679194971254933,1.857058347144014e-05,3.3928660778935994e-05
216,2004-01-05,5.6,93.0,162.7,79.78330668,3.051771115,6.27,44334.0,6.04,3.8,66.92166376,41358,14323.017,0.778738758,217.689,0.0010322310367548194,1.6760436422575604e-05,0.002720922533793008,0.002939136275637192,5.42584806529904e-05,1.1228263979925164e-06,0.0032297802079857777,1.4270926784109359e-06,0.0038271600384391356,1.4953637046451549e-06,0.0026028066845965305,0.0017679194971254933,1.857058347144014e-05,3.4768144387614166e-05
215,2004-01-06,5.6,93.1,162.0,80.03645308,3.266194886,6.2875,44334.0,6.01,3.9,66.92166376,41358,14323.017,0.778738758,217.464,0.0010322310367548194,1.6613289365121892e-05,0.0028133108719205413,0.002786909256770468,4.4388166034918123e-05,1.07615446243509e-06,0.0032297802079857777,1.5230503127590697e-06,0.003421812206293377,1.4953637046451549e-06,0.0026028066845965305,0.0017679194971254933,1.857058347144014e-05,3.5195643223451245e-05
214,2004-01-07,5.5,102.8,162.2,79.90987988,2.990755838,6.056,44334.0,5.82,4.5,66.92166376,41911,14457.832,0.941247225,216.602,0.0011285254065693511,7.062741574978285e-06,0.0027865995506500775,0.002862013752335646,5.7448771746189736e-05,1.8870481174948577e-06,0.0032297802079857777,2.2998912454865464e-06,0.0017466374939648134,1.4953637046451549e-06,0.0022411629611758005,0.0014292201073434594,1.682725100089809e-05,3.6882648669882e-05
213,2004-01-08,5.4,105.7,165.9,79.95207095,2.65438787,5.8675,44334.0,5.65,4.3,66.92166376,41911,14457.832,0.941247225,215.549,0.0012337917536277489,5.469039312096746e-06,0.002335646998260394,0.00283675731454445,7.871728619188682e-05,2.981167349562831e-06,0.0032297802079857777,3.3255144006481474e-06,0.002185777506700859,1.4953637046451549e-06,0.0022411629611758005,0.0014292201073434594,1.682725100089809e-05,3.9053560278967495e-05
212,2004-01-09,5.4,98.7,167.2,80.12083521,2.537796971,5.754,44334.0,5.46,4.1,66.92166376,41911,14457.832,0.941247225,214.49,0.0012337917536277489,1.0138927802767962e-05,0.0021951398736918862,0.0027379347337883626,8.779765331997856e-05,3.9261754253431135e-06,0.0032297802079857777,5.021708318609763e-06,0.0027350237067983165,1.4953637046451549e-06,0.0022411629611758005,0.0014292201073434594,1.682725100089809e-05,4.136572462684859e-05
211,2004-01-10,5.5,96.7,165.9,80.54274588,3.189189187,5.7225,44334.0,5.47,3.9,66.92166376,42561,14605.595,1.022027369,213.434,0.0011285254065693511,1.2094455696392455e-05,0.002335646998260394,0.0025056413825330598,4.7707148932081554e-05,4.237971267124153e-06,0.0032297802079857777,4.913951047049372e-06,0.003421812206293377,1.4953637046451549e-06,0.0018796686746185545,0.0011319642249804102,1.6022558109858e-05,4.3807635899840945e-05
210,2004-01-11,5.4,92.9,165.5,80.58493695,3.52303523,5.73,44334.0,5.52,4.3,66.92166376,42561,14605.595,1.022027369,212.446,0.0012337917536277489,1.6908886767410836e-05,0.002380659045176378,0.0024835219943083473,3.489924832348679e-05,4.161558757740722e-06,0.0032297802079857777,4.408872321490196e-06,0.002185777506700859,1.4953637046451549e-06,0.0018796686746185545,0.0011319642249804102,1.6022558109858e-05,4.6222660636276965e-05
209,2004-01-12,5.4,92.6,166.3,80.28959948,3.255561587,5.752,44334.0,5.47,4.1,66.92166376,42561,14605.595,1.022027369,211.598,0.0012337917536277489,1.7362173467001747e-05,0.002291484056785393,0.002642545653108598,4.483234963078369e-05,3.9452714964244254e-06,0.0032297802079857777,4.913951047049372e-06,0.0027350237067983165,1.4953637046451549e-06,0.0018796686746185545,0.0011319642249804102,1.6022558109858e-05,4.840137200423497e-05
208,2005-01-01,5.3,102.7,168.6,80.45836375,2.969762425,5.71,46326.0,5.36,4.4,67.11898948,43285,14767.846,1.110882508,210.911,0.0013488638526047416,7.125298220508897e-06,0.0020532431858499597,0.0025504714089559523,5.8589276249233095e-05,4.3684560254689494e-06,0.0015167106604462989,6.23818142461619e-06,0.0019539332222955575,6.51343331997665e-07,0.001545121133868948,0.000876206507016351,1.51817970765345e-05,5.024150998668091e-05
207,2005-01-02,5.4,105.1,170.4,80.92246548,3.007518794,5.6275,46326.0,5.2,4.3,67.11898948,43285,14767.846,1.110882508,210.231,0.0012337917536277489,5.7661967914176735e-06,0.001884173133384097,0.002313437620448041,5.6554055593981324e-05,5.336415788023957e-06,0.0015167106604462989,8.826492379896778e-06,0.002185777506700859,6.51343331997665e-07,0.001545121133868948,0.000876206507016351,1.51817970765345e-05,5.213177929180936e-05
206,2005-01-03,5.2,104.4,170.0,81.55533147,3.148345783,5.928,46326.0,5.4,4.1,67.11898948,43285,14767.846,1.110882508,209.496,0.0014746525389321453,6.133347932035627e-06,0.001920501229573419,0.0020252341487861565,4.956708675268903e-05,2.574208087157607e-06,0.0015167106604462989,5.719728413571908e-06,0.0027350237067983165,6.51343331997665e-07,0.001545121133868948,0.000876206507016351,1.51817970765345e-05,5.4254993979193854e-05
205,2005-01-04,5.2,103.0,170.0,82.10381534,3.510638302,5.855,46326.0,5.33,4.3,67.11898948,43718,14839.707,0.486604478,208.947,0.0014746525389321453,6.939271101234226e-06,0.001920501229573419,0.0018046139678687036,3.530674197700318e-05,3.072955939107646e-06,0.0015167106604462989,6.657634251768749e-06,0.002185777506700859,6.51343331997665e-07,0.0013741785619589414,0.0007822326836829045,2.2171101018782347e-05,5.5897128852987433e-05
204,2005-01-05,5.1,97.5,168.1,82.01943321,2.802749877,5.72,46326.0,5.15,4.2,67.11898948,43718,14839.707,0.486604478,208.58,0.0016121527485262934,1.1270641272713261e-05,0.002102837891020033,0.001836924563714406,6.850727796112127e-05,4.263752628403541e-06,0.0015167106604462989,9.837646989741043e-06,0.002445063920539897,6.51343331997665e-07,0.0013741785619589414,0.0007822326836829045,2.2171101018782347e-05,5.7022501397129033e-05
203,2005-01-06,5.0,103.1,167.8,82.06162427,2.530311017,5.582,46326.0,4.96,4.3,67.11898948,43718,14839.707,0.486604478,207.941,0.0017624511844725893,6.878347671907893e-06,0.0021331666573675737,0.0018206977257687832,8.841523942143769e-05,5.95920398833348e-06,0.0015167106604462989,1.4855334748846219e-05,0.002185777506700859,6.51343331997665e-07,0.0013741785619589414,0.0007822326836829045,2.2171101018782347e-05,5.903627082544677e-05
202,2005-01-07,5.0,106.2,167.2,82.44134387,3.16789863,5.695,46326.0,5.06,4.2,67.11898948,44350,14956.291,0.78562198,207.202,0.0017624511844725893,5.233140090645317e-06,0.0021951398736918862,0.0016809463609828421,4.866780653683259e-05,4.530351699881654e-06,0.0015167106604462989,1.1958498537058533e-05,0.002445063920539897,6.51343331997665e-07,0.0011579973180361753,0.0006507176939922073,1.8493205093658413e-05,6.145402278578399e-05
201,2005-01-08,4.9,103.6,165.9,82.86325453,3.641160942,5.82,46326.0,5.09,4.5,67.11898948,44350,14956.291,0.78562198,206.712,0.0019267346633274757,6.581660341654078e-06,0.002335646998260394,0.001538192276623028,3.12447261987451e-05,3.3452783718442394e-06,0.0015167106604462989,1.1205077589625068e-05,0.0017466374939648134,6.51343331997665e-07,0.0011579973180361753,0.0006507176939922073,1.8493205093658413e-05,6.311147443712634e-05
200,2005-01-09,5.0,105.5,168.9,83.87584013,4.686677205,5.774,46326.0,5.13,4.7,67.11898948,44350,14956.291,0.78562198,206.266,0.0017624511844725893,5.566350092351045e-06,0.002024048444142833,0.0012430431431071415,1.1737638348186525e-05,3.740225216471548e-06,0.0015167106604462989,1.027383186854532e-05,0.0013956007888489364,6.51343331997665e-07,0.0011579973180361753,0.0006507176939922073,1.8493205093658413e-05,6.465892157698853e-05
199,2005-01-10,5.0,87.5,171.6,84.0446044,4.347826091,6.065,46326.0,5.35,4.5,67.11898948,44850,15041.232,0.567928238,205.867,0.0017624511844725893,2.7221837241494764e-05,0.0017792529196728087,0.0011996731241462584,1.612082643562722e-05,1.8462928155604924e-06,0.0015167106604462989,6.3749773539395496e-06,0.0017466374939648134,6.51343331997665e-07,0.001011316590169828,0.0005690378958379288,2.110390584839466e-05,6.607542264845576e-05
198,2005-01-11,5.0,85.2,172.7,83.36954733,3.455497374,6.33,46326.0,5.42,5.0,67.11898948,44850,15041.232,0.567928238,205.464,0.0017624511844725893,3.334257935544407e-05,0.0016882078838262897,0.001382775988087929,3.7177679382103993e-05,9.707258587088826e-07,0.0015167106604462989,5.476891081175621e-06,0.000996651390195666,6.51343331997665e-07,0.001011316590169828,0.0005690378958379288,2.110390584839466e-05,6.753762428405354e-05
